"id","code","description","tariff"
"tax_category_24-101-01_ebupot","24-101-01","Dividen","15.0"
"tax_category_24-104-05_ebupot","24-104-05","Jasa Aktuaris","2.0"
"tax_category_28-409-25_ebupot","28-409-25","Pekerjaan Konstruksi Terintegrasi yang Dilakukan oleh Penyedia Jasa yang Memiliki Sertifikat Badan Usaha","2.65"
"tax_category_28-409-26_ebupot","28-409-26","Pekerjaan Konstruksi Terintegrasi yang Dilakukan oleh Penyedia Jasa yang Tidak Memiliki Sertifikat Badan Usaha","4.0"
"tax_category_28-409-27_ebupot","28-409-27","Jasa Konsultansi Konstruksi yang Dilakukan oleh Penyedia Jasa yang Memiliki Sertifikat Badan Usaha atau Sertifikat Kompetensi Kerja untuk Usaha Orang Perseorangan","3.5"
"tax_category_28-409-28_ebupot","28-409-28","Jasa Konsultansi Konstruksi yang Dilakukan oleh Penyedia Jasa yang Tidak Memiliki Sertifikat Badan Usaha atau Sertifikat Kompetensi Kerja untuk Usaha Orang Perseorangan","6.0"
"tax_category_24-104-06_ebupot","24-104-06","Jasa Akuntansi, Pembukuan, dan Atestasi Laporan Keuangan","2.0"
"tax_category_28-417-01_ebupot","28-417-01","Bunga Simpanan yang Dibayarkan oleh Koperasi kepada Anggota Wajib Pajak Orang Pribadi (bunga sampai dengan Rp240.000,00)","0.0"
"tax_category_28-417-02_ebupot","28-417-02","Bunga Simpanan yang Dibayarkan oleh Koperasi kepada Anggota Wajib Pajak Orang Pribadi (bunga di atas Rp240.000,00)","10.0"
"tax_category_28-419-01_ebupot","28-419-01","Dividen yang Diterima/Diperoleh Wajib Pajak Orang Pribadi Dalam Negeri","10.0"
"tax_category_28-423-01_ebupot","28-423-01","Pemotongan atau pemungutan PPh atas penjualan barang atau penyerahan jasa yang dilakukan oleh Wajib Pajak dengan peredaran bruto tertentu sesuai dengan Peraturan Pemerintah Nomor 23 Tahun 2018 atau Peraturan Pemerintah Nomor 55 Tahun 2022.","0.5"
"tax_category_28-423-02_ebupot","28-423-02","Pemotongan atau pemungutan PPh atas transaksi pembelian yang dilakukan oleh Wajib Pajak dengan peredaran bruto tertentu sesuai dengan Peraturan Pemerintah Nomor 55 Tahun 2022.","0.5"
"tax_category_28-410-02_ebupot","28-410-02","Imbalan yang Dibayarkan/Terutang kepada Perusahaan Pelayaran Dalam Negeri","1.2"
"tax_category_28-411-02_ebupot","28-411-02","Imbalan Charter Kapal Laut dan/atau Pesawat Udara yang Dibayarkan/ Terutang kepada Perusahaan Pelayaran dan/atau Penerbangan Luar Negeri  melalui BUT di Indonesia","2.64"
"tax_category_29-101-01_ebupot","29-101-01","Imbalan Charter Pesawat Udara yang Dibayarkan/Terutang kepada Perusahaan Penerbangan Dalam Negeri oleh Pemotong Pajak","1.8"
"tax_category_28-421-01_ebupot","28-421-01","Uplift Hulu Migas","20.0"
"tax_category_24-104-07_ebupot","24-104-07","Jasa Hukum","2.0"
"tax_category_28-421-02_ebupot","28-421-02","Participating Interest Eksplorasi Hulu Migas","5.0"
"tax_category_28-421-03_ebupot","28-421-03","Participating Interest Eksploitasi Hulu Migas","7.0"
"tax_category_22-900-01_ebupot","22-900-01","Pembayaran atas Pembelian Barang dan/atau Bahan untuk Kegiatan Usahanya oleh BUMN/Badan Usaha Tertentu","1.5"
"tax_category_22-100-07_ebupot","22-100-07","Penjualan Hasil Produksi Kepada Distributor di Dalam Negeri oleh Badan Usaha/Industri Tertentu (Industri Semen)","0.25"
"tax_category_22-100-08_ebupot","22-100-08","Penjualan Hasil Produksi Kepada Distributor di Dalam Negeri oleh Badan Usaha/Industri Tertentu (Industri Baja)","0.3"
"tax_category_24-104-08_ebupot","24-104-08","Jasa Arsitektur","2.0"
"tax_category_22-100-09_ebupot","22-100-09","Penjualan Hasil Produksi Kepada Distributor di Dalam Negeri oleh Badan Usaha/Industri Tertentu (Industri Otomotif)","0.45"
"tax_category_22-100-10_ebupot","22-100-10","Penjualan Hasil Produksi Kepada Distributor di Dalam Negeri oleh Badan Usaha/Industri Tertentu (Industri Farmasi)","0.3"
"tax_category_22-100-11_ebupot","22-100-11","Penjualan Hasil Produksi Kepada Distributor di Dalam Negeri oleh Badan Usaha/Industri Tertentu (industri Kertas)","0.1"
"tax_category_22-100-12_ebupot","22-100-12","Penjualan Kendaraan Bermotor di Dalam Negeri oleh ATPM, APM dan Importir Umum Kendaraan Bermotor","0.45"
"tax_category_22-100-13_ebupot","22-100-13","Pembelian oleh Badan Usaha Berupa Komoditas Tambang Batubara, Mineral Logam dan Mineral Bukan Logam dari Badan atau Orang Pribadi Pemegang IUP","1.5"
"tax_category_22-100-14_ebupot","22-100-14","Penjualan Emas Batangan di Dalam Negeri oleh Badan Usaha","0.45"
"tax_category_22-100-15_ebupot","22-100-15","Pembelian Bahan Hasil Kehutanan yang Belum Melalui Proses Industri Manufaktur, untuk Keperluan Industrinya/Ekspornya oleh Badan Usaha Industri/Eksportir","0.25"
"tax_category_22-100-16_ebupot","22-100-16","Pembelian Bahan Hasil Perkebunan yang Belum Melalui Proses Industri Manufaktur, untuk Keperluan Industrinya/Ekspornya Oleh Badan Usaha Industri/Eksportir","0.25"
"tax_category_22-100-17_ebupot","22-100-17","Pembelian Bahan Hasil Pertanian yang Belum Melalui Proses Industri Manufaktur, untuk Keperluan Industrinya/Ekspornya Oleh Badan Usaha Industri/Eksportir","0.25"
"tax_category_22-100-18_ebupot","22-100-18","Pembelian Bahan Hasil Peternakan yang Belum Melalui Proses Industri Manufaktur, untuk Keperluan Industrinya/Ekspornya Oleh Badan Usaha Industri/Eksportir","0.25"
"tax_category_24-104-09_ebupot","24-104-09","Jasa Perencanaan Kota dan Arsitektur Landscape;","2.0"
"tax_category_22-100-19_ebupot","22-100-19","Pembelian Bahan Hasil Perikanan yang Belum Melalui Proses Industri Manufaktur, untuk Keperluan Industrinya/Ekspornya Oleh Badan Usaha Industri/Eksportir","0.25"
"tax_category_22-401-01_ebupot","22-401-01","Penjualan BBM oleh Pertamina atau Anak Perusahaan Pertamina Kepada SPBU (Final)","0.25"
"tax_category_22-100-20_ebupot","22-100-20","Penjualan BBM oleh Pertamina atau Anak Perusahaan Pertamina Kepada Selain SPBU/Agen/Penyalur (Tidak Final)","0.3"
"tax_category_22-401-02_ebupot","22-401-02","Penjualan BBM oleh Badan Usaha Selain Pertamina atau Anak Perusahaan Pertamina Kepada SPBU/Agen/Penyalur  (Final)","0.3"
"tax_category_22-100-21_ebupot","22-100-21","Penjualan BBM oleh Badan Usaha Selain Pertamina atau Anak Perusahaan Pertamina Kepada Selain SPBU/Agen/Penyalur (Tidak Final)","0.3"
"tax_category_22-100-22_ebupot","22-100-22","Penjualan Pelumas oleh Importir/Produsen","0.3"
"tax_category_22-100-23_ebupot","22-100-23","Penjualan  Pulsa dan Kartu Perdana oleh Penyelenggara Distribusi Tingkat Kedua yang Merupakan Pemungut PPh Pasal 22","0.5"
"tax_category_22-100-24_ebupot","22-100-24","Penjualan Gas oleh Produsen/Importir Kepada Selain SPBU/Agen/Penyalur (Tidak Final)","0.3"
"tax_category_22-401-03_ebupot","22-401-03","Penjualan Gas oleh produsen/importir Kepada SPBU/Agen/Penyalur (Final)","0.3"
"tax_category_22-401-04_ebupot","22-401-04","Penjualan BBM oleh Pertamina atau Anak Perusahaan Pertamina kepada Agen/Penyalur selain SPBU (Final)","0.3"
"tax_category_24-104-10_ebupot","24-104-10","Jasa Perancang (Design)","2.0"
"tax_category_22-403-01_ebupot","22-403-01","Penjualan Barang yang Tergolong Sangat Mewah Selain Rumah Beserta Tanahnya, Apartemen, Kondominium dan Sejenisnya","5.0"
"tax_category_22-403-02_ebupot","22-403-02","Penjualan Barang yang Tergolong Sangat Mewah Untuk Rumah Beserta Tanahnya, Apartemen, Kondominium dan Sejenisnya","1.0"
"tax_category_22-404-01_ebupot","22-404-01","Ekspor Komoditas Tambang Batubara, Mineral Logam, dan Mineral Bukan Logam yang Dilakukan Oleh Eksportir, Kecuali WP yang Terikat dalam PKP2B dan KK","1.5"
"tax_category_22-405-01_ebupot","22-405-01","Penghasilan Sehubungan dengan Aset Kripto yang dipungut oleh Penyelenggara Perdagangan Melalui Sistem Elektronik yang Merupakan Pedagang Fisik Aset Kripto","0.1"
"tax_category_22-405-02_ebupot","22-405-02","Penghasilan Sehubungan dengan Aset Kripto yang dipungut oleh Penyelenggara Perdagangan Melalui Sistem Elektronik yang Bukan Merupakan Pedagang Fisik Aset Kripto","0.2"
"tax_category_22-101-01_ebupot","22-101-01","Penghasilan Sehubungan dengan Transaksi Penjualan Barang, Penyerahan Jasa, dan/atau Persewaan serta Penghasilan Lain Sehubungan dengan Penggunaan Harta yang Dilakukan Melalui Pihak Lain dalam Sistem Informasi Pengadaan Pemerintah (Tidak Final)","0.5"
"tax_category_22-101-02_ebupot","22-101-02","Penghasilan Sehubungan dengan Transaksi Penjualan Barang, Penyerahan Jasa, dan/atau Persewaan serta Penghasilan Lain Sehubungan dengan Penggunaan Harta yang Dilakukan Melalui Pihak Lain dalam Sistem Informasi Pengadaan Pemerintah (Final)","0.5"
"tax_category_22-102-01_ebupot","22-102-01","Penghasilan yang Diterima atau Diperoleh Pedagang Dalam Negeri Penjualan Barang, Penyerahan Jasa, dan/atau Persewaan serta Penghasilan Lain Sehubungan dengan Penggunaan Harta yang Dilakukan Melalui Perdagangan Melalui Sistem Elektronik (Tidak Final)","0.5"
"tax_category_22-102-02_ebupot","22-102-02","Penghasilan yang Diterima atau Diperoleh Pedagang Dalam Negeri Atas Penjualan Barang, Penyerahan Jasa, dan/atau Persewaan serta Penghasilan Lain Sehubungan dengan Penggunaan Harta yang Dilakukan Melalui Perdagangan Melalui Sistem Elektronik (Final)","0.5"
